ProdID;OrderDate;ShippedBy;Zip;Country;Qty;UnitPrice;UnitCost
573;01/15/2017;American Eagle;L5R;Canada;1;93.5375;44.7266
2064;01/15/2017;SpeedEx;T3R;Canada;1;108.4883;46.9187
728;01/15/2017;SPU;K1Y;Canada;2;62.9475;31.0858
727;01/15/2017;World Connection;R3H;Canada;1;68.1975;32.6014
739;01/15/2017;American Eagle;M4V;Canada;1;170.5725;78.5118
2254;01/15/2017;PHL;V6M;Canada;1;57.6975;26.9773
2235;01/15/2017;BD Kerschen;M6G;Canada;1;65.5725;42.1664
604;01/15/2017;King Shippers;R3G;Canada;1;153.9125;66.8259
767;01/15/2017;American Eagle;T2R;Canada;1;104.9475;46.8049
683;01/15/2017;World Connection;V6C;Canada;1;262.6750;145.3359
1975;01/15/2017;King Shippers;R3S;Canada;1;52.4475;24.6506
396;01/15/2017;PHL;M5L;Canada;2;85.7063;48.0860
758;01/15/2017;SPU;M5P;Canada;1;83.9475;38.4105
2070;01/15/2017;World Connection;T6T;Canada;1;173.2325;88.5218
2234;01/15/2017;American Eagle;L5N;Canada;1;65.5725;36.7192
797;01/15/2017;SpeedEx;T2J;Canada;1;301.8225;153.8474
767;01/15/2017;PHL;T5K;Canada;1;104.9475;46.8049
1489;01/15/2017;Speedissimo;T3R;Canada;1;87.4650;39.5977
1188;01/15/2017;Speedissimo;M6G;Canada;1;104.9883;39.6446
2255;01/15/2017;World Connection;M6H;Canada;2;57.6975;32.6402
2234;01/15/2017;King Shippers;M5X;Canada;1;65.5725;36.7192
1112;01/15/2017;BD Kerschen;M5X;Canada;1;116.4975;72.7129
609;01/15/2017;SpeedEx;M5P;Canada;2;259.6125;119.4188
2235;01/15/2017;American Eagle;L5P;Canada;2;65.5725;42.1664
1182;01/15/2017;American Eagle;R3T;Canada;1;104.9650;48.7630
2234;01/15/2017;SPU;L5P;Canada;2;65.5725;36.7192
2234;01/15/2017;PHL;M6G;Canada;1;65.5725;36.7192
1066;01/15/2017;SpeedEx;T2T;Canada;1;98.8575;50.5179
1229;01/15/2017;World Connection;M4V;Canada;1;78.7325;45.1837
758;01/15/2017;SpeedEx;V6M;Canada;1;83.9475;38.4105
